ID#,Date,Head,RCPT,Narration,Receipt,Payment
1,02-04-2022,Sunday School Expense,10,Lamp oil,0,100
2,03-04-2022,Offerings for Daily Expense(C),1,Nithya chilav,3150,0
3,03-04-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",2,Kozhi leelam varav,250,0
4,03-04-2022,"Offerings, Auction, Bhandaram etc-(Nercha)(C)",3,Paavakka leelam,30,0
5,03-04-2022,Donation/Offering for Special Purposes(C),4,Chirappurath Jinu ( 1 month salary ) - kadam veettan,5805,0
6,03-04-2022,Donation/Offering for Special Purposes(C),5,Chirappurath Jinu ( 1 month salary ) - kadam veettan,10000,0
7,03-04-2022,Donation/Offering for Special Purposes(C),6,Chirappurath Jinu ( 1 month salary ) - kadam veettan,10000,0
8,03-04-2022,Donation/Offering for Special Purposes(C),7,Chirappurath Jinu ( 1 month salary ) - kadam veettan,10000,0
9,03-04-2022,Parish Hall Charges Collected(C),8,Amal James - Mattathippara,10000,0
10,03-04-2022,Repair & Maintenance,1,Generator diesel,0,3000
11,04-04-2022,Sunday School Expense,2,Food,0,370
12,04-04-2022,STATIONARY,3,STATIONARY,0,310
13,04-04-2022,Sunday School Expense,4,Photo frame for gifts,0,300
14,04-04-2022,STATIONARY,5,Buying lemon,0,64
15,04-04-2022,Telephone & Postage,6,PHONE RECHARGE,0,360
16,05-04-2022,Sunday School Expense,7,Food,0,295
17,05-04-2022,STATIONARY,8,Rubber band,0,40
18,05-04-2022,STATIONARY,9,"Theyila, Sugar",0,291
19,05-04-2022,STATIONARY,11,Suriyani Pusthakam 15,0,150
20,05-04-2022,Donation from the Diocese Disbursed,12,Kavananikkal abhilash bhavana nirmanam,0,2750
21,05-04-2022,Miscellaneous Expenses,13,Gas kutti,0,960
22,05-04-2022,Donation from the Diocese Disbursed,14,Kummaniyil Joy bhavana nirmanam,0,2750
23,06-04-2022,Donation/Offering for Special Purposes(C),9,Valyath Jakson George to Sunday School,2000,0
24,06-04-2022,Donation/Offering for Special Purposes(C),10,Madathipparampil Achamma for buying gifts to Sunday School,1500,0
25,06-04-2022,Donation/Offering for Special Purposes(C),11,Kozhikottu Rosamma Sebastian to Sunday School,1000,0
26,06-04-2022,SOUTH INDIAN BANK - BHAVANA NIRMANAM,12,Bhavana Nirmanam,0,130000
27,06-04-2022,Donation from Diocese for Charity Works,12,Bhavana Nirmanam,130000,0
28,06-04-2022,Repair & Maintenance,15,For repairing refrigerator,0,700
29,06-04-2022,Sunday School Expense,16,For buying foods to Sunday School,0,295
30,06-04-2022,Repair & Maintenance,17,For buying Fish food,0,58
31,07-04-2022,Donation/Offering for Special Purposes(C),13,Kattakkayam Shiju - For buying gifts to vishavasolsavam,500,0
32,07-04-2022,Donation/Offering for Special Purposes(C),14,Karakkadayil Sebin - For buying gifts for vishvasolsavam,1000,0
33,07-04-2022,Sunday School Expense,18,Food,0,320
34,07-04-2022,Sunday School Expense,19,For buying gifts for Vishvasolsavam,0,3550
35,07-04-2022,Sunday School Expense,20,Gifts,0,3146
36,07-04-2022,STATIONARY,21,For buying kurishinte vazhi pusthakam,0,250
37,07-04-2022,Travelling Expense,22,Petrol,0,700
38,07-04-2022,Miscellaneous Expenses,23,Mailadum para kurishadi alakkan surveyor kk koduthath,0,1000
39,07-04-2022,Sunday School Expense,24,"For buying food items for vishvasolsavam(ari, enna, pachakkari....)",0,1260
40,07-04-2022,Repair & Maintenance,35,"Palli cleaning - Milk, cherukadi",0,315
41,08-04-2022,bank s/b withdrawal,15,Withdrawal from bank,10000,0
42,08-04-2022,bank s/b withdrawal,16,Withdrawal from bank,10000,0
43,08-04-2022,bank s/b withdrawal,17,Withdrawal from bank,10000,0
44,08-04-2022,bank s/b withdrawal,18,Withdrawal from bank,10000,0
45,08-04-2022,Donation from the Diocese Disbursed,25,Travel expense for manal,0,2400
46,08-04-2022,Sunday School Expense,26,Food,0,330
